Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
"Our organization is considering acquiring one of our competitors. Before we agree to the purchase, we have done a security assessment of their facility. None of the findings were too alarming, but we want them fixed as soon as possible. To ensure we only allow authorized employees inside our fence, which of these physical security problems would you want to fix FIRST?",multiple-choice,The broken turnstile.,The broken camera.,The poor lighting.,The opening in the fence.,,,4,We would want to do something about the opening in the fence first. We could either put a guard or a gate with a badge reader.,CBK 3: Security Engineering
"We are looking at implementing a new type of symmetric encryption. Which of these symmetric encryption types are no longer considered secure, and should be something we should NOT consider?",multiple-choice,RC4,3DES K1.,AES.,Twofish.,,,1,"RC4: Used by WEP/WPA/SSL/TLS. Pseudorandom keystream. No longer considered secure. Symmetric, Stream cipher, 40-2048 bit key length.",CBK 3: Security Engineering
"A senior VP stops you in the cafeteria because you are one of those IT people. She asks you questions about Public Key Infrastructure (PKI). After you explain it at a high level, they ask for more detail. You could tell them PKI uses which of these?",multiple-choice,Asymmetric encryption.,Symmetric encryption.,Hashes.,All of these.,,,4,"PKI (Public Key Infrastructure): Uses Asymmetric and Symmetric Encryption as well as Hashing to provide and manage digital certificates. To ensure PKI works well, we keep the private key secret.",CBK 3: Security Engineering
"When we have our private and public keys in key escrow, what does that mean?",multiple-choice,The server we keep our public and private keys on.,"Someone keeping a copy of our keys, often law enforcement.",The private key I have on my system.,The public key available to everyone.,,,2,Key Escrow: Keys are kept by a 3rd party organization (often law enforcement).,CBK 3: Security Engineering
Which type of malware is embedded in another normal program?,multiple-choice,Worms.,Trojans.,Rootkits.,Logic bombs.,,,2,"Trojans - malicious code embedded in a program that is normal. This can be games, attachments, website clicks, etc. …",CBK 3: Security Engineering
We are using different types of anti-virus in our organization. Which type MUST be constantly updated?,multiple-choice,Heuristic.,Signature.,Formal.,Embedded.,,,2,Antivirus Software - tries to protect us against malware. Signature based - looks for known malware signatures - MUST be updated constantly.,CBK 3: Security Engineering
What would we use Distributed Control Systems (DSCs) for?,multiple-choice,Computerized control system for a process or plant.,Controlling manufacturing processes.,"Monitor our servers, workstations and network devices.",High level control supervisory management.,,,1,"DCS (Distributed Control Systems) is a computerized control system for a process or plant in which autonomous controllers are distributed throughout the system, but there is central operator supervisory control.",CBK 3: Security Engineering
"When we are using frequency analysis, what are we looking at?",multiple-choice,How often certain letters are used.,How often pairs of letters are used.,How many messages are sent.,How often messages are sent.,,,1,"Frequency Analysis (analyzing the frequency of a certain character) – In English “E” is used 12.7% of the time. Given enough encrypted substitution text, you can break it just with that.",CBK 3: Security Engineering
In which part of the computer are all the calculations done?,multiple-choice,CPU.,ALU.,CU.,ROM.,,,2,Arithmetic logic unit (ALU) performs arithmetic and logic operations. It’s a processor that registers that supply operands (Object of a Mathematical Operation) to the ALU and stores the results of ALU operations. It does all the math.,CBK 3: Security Engineering
In which order does the CPU process work?,multiple-choice,"Fetch, execute, decode, store.","Execute, fetch, decode, store.","Fetch, decode, execute, store.","Fetch, decode, store, execute.",,,3,"CPU (Central Processing Unit): Fetch, Decode, Execute, Store. Fetch - Gets the instructions from memory into the processor. Decode - Internally decodes what it is instructed to do. Execute - Takes the add or subtract values from the registers. Store - Stores the result back into another register (retiring the instruction).",CBK 3: Security Engineering
"When a computer uses more than one processor at a time for a task, it is called what?",multiple-choice,Multithreading.,Multiprocessing.,Multitasking.,Multiprogramming.,,,2,Multiprocessing - A computer using more than one CPU at a time for a task.,CBK 3: Security Engineering
What handles all access between objects and subjects in the computer kernel?,multiple-choice,User mode.,Supervisor mode.,Reference monitor.,Superuser mode.,,,3,"The Kernel At the core of the OS is the Kernel. At ring 0 (or 3), it interfaces between the operating system (and applications) and the hardware. Microkernels are modular kernels. The reference monitor is a core function of the kernel; it handles all access between subjects and objects. It is always on and can't be bypassed.",CBK 3: Security Engineering
Which of these hashing algorithms are still considered secure and collision free?,multiple-choice,MD5,MD6.,SHA1.,RIPEMD160.,,,4,"RIPEMD160: Redesigned, fixing flaws of RIPEMD. 160 bit hashes. Not widely used. Considered secure. MD5 (Message Digest 5): 128bit Fixed-Length hash, used very widely until a flaw was found making it possible to produce collisions in a reasonable amount of time. While not a chosen-text collision, it is still a collision. MD6 (Message Digest 6): Was not used for very long; was supposed to replace MD5, but SHA2/3 were better. It was in the running for the SHA3 race, but withdrawn due to flaws. SHA1 (Secure Hash Algorithm 1): 160 bit Hash Value. Found to have weak collision avoidance, but still commonly used.",CBK 3: Security Engineering
Jane is talking to a friend and is explaining what digital signatures do. Which of these could be something that she tells her friend is one of the MAIN reasons we use digital signatures?,multiple-choice,Confidentiality.,Availability.,Integrity.,Authentication.,,,3,Digital Signatures: Provides Integrity and Non-Repudiation.,CBK 3: Security Engineering
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
